Charge Code Description,Rate
LAPARO-VAG HYST INCL T/O,"11,313.75"
LAP VENT/ABD HERNIA REPAIR,"8,019.56"
ANOSCOPY W/BX SINGLE/MULTIPLE,"3,016.50"
REMOVAL OF RECTUM,"3,747.80"
REMOVAL IMPLANT DEEP,"5,293.43"
CLOSED ELBOW DISLOCATION W/O ANES,529.3
EXC TR-EXT B9+MARG 2.1-3CM,"2,176.80"
DILATION OF URETHRA,"3,023.35"
REMOVE FOREARM FOREIGN BODY,"3,525.36"
LAPAROSCOPY BIOPSY,"7,219.00"
COLON CA SCRN NOT HI RSK IND,"2,428.00"
SIGMOIDOSCOPY AND BIOPSY,"1,915.92"
COLORECTAL SCRN; HI RISK IND,"2,404.25"
ABD PARACENTESIS,"1,240.50"
EGD DILATION GASTRIC/DUODENAL STRICTURE,"2,383.50"
FUSION OF BIG TOE JOINT,"6,922.22"
OSTECTOMY PRTL 5TH METAR HEAD SPX,"3,724.60"
N BLOCK OTHER PERIPHERAL,897.26
EXC TR-EXT MAL+MARG 2.1-3 CM,"2,134.87"
EXC FOREARM LES SC 3 CM/>,"3,931.00"
GENITAL SURGERY PROCEDURE,"2,790.22"
REMOVE TENDON SHEATH LESION,"3,508.00"
PARTIAL REMOVAL OF FOOT BONE,"3,327.00"
REPAIR OF ACHILLES TENDON,"5,731.11"
REMOVE LIMB NERVE LESION,"2,996.61"
REMOVAL OF ANAL TAGS,"3,270.62"
REMOVE EXT HEM GROUPS 2+,"4,218.67"
REMOVAL OF HEEL SPUR,"4,403.80"
EXC HAND LES SC < 1.5 CM,"3,412.00"
VAGINAL HYSTERECTOMY,"7,198.25"
INCISION OF METATARSAL,"3,556.66"
EXC SHOULDER TUM DEEP < 5 CM,"4,169.57"
ANESTHESIA LOWER INTESTIN,250
ANESTHESIA UPPER GI VISUA,250
REMOVAL OF SKIN & TISSUE 1ST 20 SQ CM/<,"1,350.00"
ANES GEN ANES 1ST HOUR,655.99
ANES GEN ANES 61-90 MINUT,905.71
ANES GEN ANES 91-120 MINU,972.41
ANES GEN ANES 121-150MNS,"1,138.88"
ANES GEN ANES 151-180 MIN,"1,305.36"
ANES GEN ANES 181-210 MIN,"1,416.71"
ANES GEN ANES 211-240 MIN,"1,444.28"
MOD SEDATION 5 & OLDER 30,92
ANES VAGINAL PROCEDURE,77.18
ANES GEN ANES 61-90 MI,905.71
ANES GEN ANES LOCAL MA,101.43
ANES NERVE MUSCLE TDN FSCABRS LOWER ARM,295.5
ANESTH LOWER ARM SURGERY,389.53
ANESTH RADICAL LEG SURGERY,324
ANESTH ABDOMINAL WALL SURG,310.2
ANESTH SURG LOWER ABDOMEN,346.48
ANESTH VASCULAR ACCESS,276.2
ANESTH ABDOMINAL WALL SURG,334.88
ANESTH SURGERY OF BREAST,386
ANESTH NECK ORGAN 1 YR/>,398.26
ANESTH GENITALIA SURGERY,338.33
ANESTH BLADDER SURGERY,420.18
ANESTH LOWER LEG BONE SURG,301.37
ANESTH CHEST PROCEDURE,448
ANESTH LENS SURGERY,245.97
ANESTH LOW INTESTINE SCOPE,274.17
ANESTH UPPER GI VISUALIZE,263.67
ANESTH REPAIR OF HERNIA,333
ANESTH REPAIR OF HERNIA,392.4
ANESTH KNEE AREA SURGERY,317.68
ANESTH SURG UPPER ABDOMEN,353.98
ANESTH AMPUTATION OF FEMUR,271.7
ANESTH ABDOMINAL WALL SURG,197.56
ANESTH VASULAR ACCESS,183.7
ANESTH PROCEDURES ON EYE,228.67
ANESTH LENS SURGERY,245.97
ANESTH CORNEAL TRANSPLANT,211.19
ANESTH VITREORETINAL SURG,377.22
ANESTH SKIN EXT/PER/ATRUNK,396.23
ANESTH VAGINAL PROCEDURES,507
ANESTH VAGINAL PROCEDURES,507
ANESTH ANORECTAL SURGERY,465.42
AIRWAY SURGICALPROCEDURE,166.4
E/R LEVEL I,156
E/R LEVEL II,215
E/R LEVEL III,274
E/R LEVEL IV,470
E/R LEVEL V,780
CRITICAL CARE 1ST HOUR,850
ARTHROCENTESIS MAJ JTJNT,250
ABD PARACENTESIS,"1,221.00"
AVULSION NAIL PLATE SINGL,130
CATHETER URETHRA COMPLICA,158
CHG GASTROSTOMY TUBE,262
CLSD TRT FINGER/THUMB W/M,282
CLSD TRT SHLDR DISLOCATE,466
CLSD TRT W/MNP IP JNT DIS,414
CL TX METATARSL IP JOINT DISLOCATION,212
CPR,675
DRAIN ABCESS DENTOALVEOL,222
ENDO TRACH INTUBATION,308
DRAIN BLOOD FROM UNDER NAIL,170
I& RMVE FB SUBQ SIMPLE,194
I & D OF VULVA/PERINEUM,532.1
I&D ABCESS SMPLE/SINGL,492.33
I&D HEMATOMA,142
INCISION DRAINAGE ABSCESS COMPLICATED/MU,693.83
IMM ADM VACC/TOXOID; ONE,20
IN AND OUT CATH / ER,54
LUMBAR PUNCTURE,250
REMOVAL FOREIGN BODY FOOT SUBCUTANEOUS,"1,333.33"
RMVE FB EXT EAR,233
RMVE FB EYE CONJUNCT,291
RMVE FB EYE CORNEAL W/O,342.1
RPR INT SCLP TRK EXT 2.6-,322
RPR INT SCLP TRK EXT 7.6-,340
INTMD RPR S/A/T/EXT 2.5 CM/<,716.67
RPR SMPL FACE EAR 5.1-7.0,434
RPR SMPL SCLP NCK TRN 2.6,385.7
RPR S/N/AX/GEN/TRK7.6-12.5CM,422.7
RPR SMPLE FACE EAR <2.5 C,204
RPR SMPLE FACE EAR 2.6-5.,230
SPLINT ARM LONG APPLY,309.67
SPLINT ARM SHORT STATIC,287.01
SPLINT FINGER STATIC APPL,128
SPLINT LEG SHORT APPLY,292
TPA ADMINISTRATION,574
REPAIR S/N/A/GEN/TRK20.1-30.0CM,484.25
INJ TRIGGER POINT 1/2 MUSCL,553.16
INSERTION OF CHEST TUBE,"1,222.00"
TREAT ELBOW DISLOCATION,440.59
THORACENTESIS NEEDLE/CATH PLEURA W/O IMA,"1,173.67"
CLOSED TX RADIAL SHAFT FRACTURE W/MANIPU,846.14
TX/PR/DX EAAD SEQ IV SAM,45
TX/PR/DX IV PUSH SGL/INT,100
TX/PR/DX/INJ SQ/IM,56
ADMINSTRATION BLD/BLD CPTS 2-3,496.13
ADMINISTRATION BLD/BLD CPTS 4-5,523.69
INSERT CENTRAL VENOUS,461.01
NASO TUBE PLACEMENT,160
OBS PER HR,50
RPR SMPLE SCLP NCK TRN,204
DRESS/DEBRIDE BURN SMA,130
CLOSED TX PATELLAR DISLOC W/O,489
CNTRL NOSE BLEED ANT S,343.57
CHG GASTROSTOMY TUBE,262
I&D ABCESS PERIRECTAL,"2,024.00"
ASPIRATION BLADDER;W/I,"2,234.00"
INSERT TEMP INDWELL CA,58
EACH  ADDITIONAL VACCINE,55.13
GASTRIC LAVAGE,192
IV INF HYDRAT INT 31 M,110
IV INF TH/PR/DX EA ADD,45
IV INF/TH/PR/DX SEQ IN,75
TX/PR/DX INJ EAAD SEQ NEW,45
MOD SEDATION EA ADD 15,50
"C COLLAR, ADJUSTABLE",8
ZOLL MULTIFUNCTION PAD,108
TX/PRO/DX INJ SAME DRUG ADON,149.69
MOD SEDAT PHYS/QHP 5YRS/>,346.67
APPLICATION LONG LEG SPLINT,312
TREAT FRACTURE RADIUS/ULNA,974.5
TELEHEALTH FACILITY FEE,57.5
THER/PROPH/DIAG IV INF INIT,443.31
TREATMENT CLOSED ELBOW DISLOCATION W/O A,588
MASTECTOMY SIMPLE COMPLET,"3,820.00"
Repair Wound or Lesion,557.21
TREAT HUMERUS FRACTURE,449.85
CLOSED TREATMENT METACARPAL PHALANGEAL D,240
PUNCTURE ASPIRATION ABSCESS HEMATOMA BUL,488.73
INCISE EXTERNAL HEMORRHOID,547
DRAINAGE OF PILONIDAL CYST,447.46
DRAIN/INJ JOINT/BURSA W/O US,580.67
REMOVE IMPACTED EAR WAX UNI,193
TREATMENT OF ANKLE FRACTURE,971
MOD SED OTH PHYS/QHP 5/>YRS,0
TREAT METACARPAL FRACTURE,627.17
CMPLX RPR S/A/L ADDL 5 CM/>,715.6
DEXAMETHASONE 1 MG INJ,2.75
TX RM INFUSION TO 60 MINUTES,443.31
TX RM INFUSION ADDITIONAL HR,152
TX RM INFUSION > 121 MINU,202
IMMUNIZATION ADMINISTRATION,25
TX RM NO CHG,0
INSERT TEMP INDWELL CATH,58
IRRIG DRUG DELIVERY DEVIC,40
IV INF TH/PR/DX EA ADD HR,45
IVINF HYDRAT EA ADD HR,60
TX/PR/DX INJEA AD SEQ IVP,45
TX/PR/DX IVPUSH SGL/INT D,100
CHEMO ADMIN HORMONAL ANTI-NEOPL,60
TX RM EST PT L-2,133
URINE PREGNANCY TEST,83.86
IMPLANON (CONTRACEPTIVE) INSERTION,527
REMOVE DRUG IMPLANT DEVICE,712.16
REMOVE/INSERT DRUG IMPLANT,347
DECLOTTING BLOOD FROM PICC,44
APPLICTN OF LONG LEG CAST (THIGH TOES),137.35
APPLICTN  OF SHORT LEG CAST,89.54
"APPLICATION CAST, ELBOW TO FINGER",67.78
"APPLICATION CAST, HAND AND LOWER FOREARM",94.89
"APPLICATION CAST, SHOLDER TO HAND",95.97
APPLICATION OF FINGER SPLINT (DYNAMIC),52.09
APPLICATION OF FINGER SPLINT (STATIC),41.02
APPLICATION OF LONG ARM  SPLINT,87.04
APPLICATION OF LONG LEG SPLINT,78.13
APPLICATION OF SHORT ARM  SPLINT,79.2
APPLICATION OF SHORT ARM  SPLINT STATIC,69.56
APPLICATION OF SHORT LEG SPLINT,72.82
"ARTHR, ASPIRTN AND/OR INJ INTER JOINT",60.65
"ARTHR, ASPIRTN AND/OR INJ MAJOR JOINT",80.63
ASPIRAT/INJ GANGLION CYST ANY LOCATION,122.17
"ARTHR, ASPIRTN AND/OR INJECTION SM JOINT",55.65
AVULSION NAIL PLATE SINGLE,130
"BURN, DRESS OR DEBRIDEMENT < 5%",85.26
"BURN, LARGE  > 10% TOTAL BODY",184.09
"BURN, MED  5%-10 % TOTAL BODY",153.05
BX SKIN SUBCUTNEOUS TISSUE ADDITL LESN,34.25
BX SKIN SUBCUTNEOUS TISSUE SINGLE LESION,107.38
DESTRUCTION BENIGN LESNS  15 OR MORE,135.57
DESTRUCTION BENIGN LESNS  UP-14,113.8
DESTRUCTION BENIGN OR PREMALIG LESN  1,83.48
DESTRUCTION BENIGN OR PREMALIG 15 +,180.52
DESTRUCTION BENIGN OR PREMALIG 2-14,7.5
DEST MALGNT LES ANY METHOD .5 cm or <,145.55
DEST MALGNT LES ANY METHOD .6 to 1.0,184.44
DEST MALGNT LES ANY METHOD 1.1 cm to 2.0,213.7
DEST MALGNT LES ANY METHOD 2.1 cm to 3.0,256.86
DEST MALGNT LES ANY METHOD 3.1 cm to 4.0,297.89
DEST MALGNT LES ANY METHOD Over 4.0,272.09
DEST MALGNT LES ANY METHOD .5 cm or <,155.19
DEST MALGNT LES ANY METHOD  .6-1.0,170.53
DEST MALGNT LES ANY METHOD  1.1 cm-2.0,194.43
DEST MALGNT LES ANY METHOD  2.1 cm-3.0,216.55
DEST MALGNT LES ANY METHOD 3.1 cm-4.0,255.43
DEST MALGNT LES ANY METHOD Over 4.0,295.74
DEST MALGNT LES ANY METHOD .5 cm or <,"9,446.00"
DEST MALGNT LES ANY METHOD .6 to 1.0,148.76
DEST MALGNT LES ANY METHOD 1.1 cm to 2.0,180.52
DEST MALGNT LES ANY METHOD 2.1 cm to 3.0,193.46
DEST MALGNT LES ANY METHOD 3.1 cm to 4.0,212.98
DEST MALGNT LES ANY METHOD Over 4.0,541.52
EXCIS BENIGN LESION INC MARG .5 cm or <,122.37
EXCIS BENIGN LESION INC MARG .6 cm - 1.0,159.11
EXCIS BENIGN LESION INC MARG 1.1 cm-2.0,177.03
EXCIS BENIGN LESION INC MARG 2.1 cm-3.0,205.7
EXCIS BENIGN LESION INC MARG 3.1 cm-4.0,236.17
EXCIS BENIGN LESION INC MARG Over 4 cm,"3,597.81"
EXCIS BENIGN LESION INC MARG .5 cm or <,122.74
EXCIS BENIGN LESION INC MARG .6 cm-1.0,150.19
EXCIS BENIGN LESION INC MARG 1.1 cm-2.0,"1,665.59"
EXCIS BENIGN LESION INC MARG 2.1 cm-3.0,192.29
EXCIS BENIGN LESION INC MARG 3.1 cm-4.0,218.69
EXCIS BENIGN LESION INC MARG Over 4 cm,311.8
EXCIS OTH BENIGN LESN INC MARG .5 cm or<,135.21
EXCIS OTH BENGN LESN INC MARG .6 cm -1.0,170.17
EXCIS OTH BENGN LESN INC MARG 1.1 cm-2.0,191.93
EXCIS OTH BENGN LESN INC MARG 2.1 cm-3.0,228.63
EXCIS OTH BENGN LESN INC MARG 3.1 cm-4.0,"2,317.33"
EXCIS OTH BENIGN LESN INC MARG Over 4 cm,395.99
FINE NEEDLE ASPIRTN WITHOUT IMAGE GUIDE,149.48
FRACTURE (ACROMIOCLAVICULAR) W/ MANIPTN,325.01
FRACTURE (ACROMIOCLAVICULAR) W/O MANIPTN,221.9
FRACTURE (CLAVICULAR) W/ MANIPULATION,353.55
FRACTURE (CLAVICULAR) W/O MANIPULATION,217.62
FRACTURE PROXIMAL HUMERUS W/ MANIPULTN,472.34
FRACTURE PROXIMAL HUMERUS W/O MANIPULTN,325.01
"I & D COMPLEX, MULTI",190.51
"I & D SIMPLE, SINGLE",113.74
INITIAL TREATMENT FIRST DEGREE BURN,70.63
INJ SINGLE TENDON SHEATH OR LIGAMENT,58.86
INJ SINGLE OR MULTI POINT 1 OR 2 MUSCLES,54.94
INJ SINGLE OR MULTI PT 3 OR MORE MUSCLE,62.07
REMOVAL OF TUN CVC W/OUT SUBQ PORT,20
REPAIR  20.1 to 30.0,532.99
REPAIR  Over 30.0,607.91
REPAIR 12.6 to 20.0,446.65
REPAIR 2.5 cm or <,278.27
REPAIR 2.6 to 5.0,317.51
REPAIR 5.1 to 7.5,349.96
REPAIR 7.6 to 12.5,372.08
"REPAIR(NECK,HAND,FEETEXT GEN) 12.6-20.0",382.44
"REPAIR (NECK,HAND,FEET,EXT GEN)2.5cm or<",262.93
"REPAIR (NECK,HAND,FEET,EXT GEN) 2.6-7.5",302.14
"REPAIR (NECK,HAND,FEET,EXT GEN)20.1-30.0",453.79
"REPAIR (NECK,HAND,FEET,EXT GEN) 7.6-12.5",356.75
"REPAIR (NECK,HAND,FEET,EXT GEN)Over 30.0",492.67
"REPAIR (SCALP, TRUNK, EXTREM)12.6 to20.0",388.07
"REPAIR (SCALP, TRUNK, EXTREM)2.5 cm or <",251.86
"REPAIR (SCALP, TRUNK, EXTREM) 2.6 to 7.5",317.15
"REPAIR (SCALP,TRUNK,EXTREM)20.1 to 30.0",419.54
"REPAIR (SCALP, TRUNK, EXTREM)7.6 to 12.5",316.44
"REPAIR (SCALP, TRUNK, EXTREM)Over 30.0cm",470.2
PUNCTURE ASPIRTN OF CYST BREAST EACH ADD,27.83
PUNCTURE ASPIRTN OF CYST BREAST SINGLE,114.16
REMOVAL FORGN BODY CORNEAL W/O SLIT LMP,342.1
REMVL FORGN BODY FROM AUD CANAL W/O ANES,233
REMVL FORGN BODY FROM EYE CONJ SUPER,291
REMVL OF SKIN TAGS ANY AREA < 10 LESNS,19.62
REMOVAL OF SKIN TAGS ANY AREA UP TO 15,87.75
SHAVING EPI/DERMAL LESION .5 cm or <,87.75
SHAVING EPI/DERMAL LESION .6 cm to 1.0,110.6
SHAVING EPI/DERMAL LESION 1.1 cm to 2.0,128.78
SHAVING EPI/DERMAL LESION over 2.0,159.82
SHAVING EPI/DERMAL LESION .5 cm or <,70.99
SHAVING EPI/DERMAL LESION .6 cm to 1.0,98.46
SHAVING EPI/DERMAL LESION 1.1 cm to 2.0,116.65
SHAVING EPI/DERMAL LESION over 2.0,129.14
SHAVING EPI/DERMAL LESION .5 cm or <,70.99
SHAVING EPI/DERMAL LESION .6 cm to 1.0,96.24
SHAVING EPI/DERMAL LESION 1.1 cm to 2.0,115.22
SHAVING EPI/DERMAL LESION over 2.0,135.93
SIMPLE REPAIR OF SUPER WNDS 12.6 to 20.0,243.74
