CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Aetna (Plan: All),Payer Negotiated Charge: Aetna Better Health of IL Illinicare (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL MCD Rep (Plan: All),Payer Negotiated Charge: Cigna PPO (Plan: All),Payer Negotiated Charge: Health Alliance Medical Plans (Plan: All),Payer Negotiated Charge: Healthlink Inc. HMO (Plan: All),Payer Negotiated Charge: Healthlink PPO (Plan: All),Payer Negotiated Charge: IlliniCare MCD Rep DOS prior to 120120 (Plan: All),Payer Negotiated Charge: Medicaid Illinois (Plan: All),Payer Negotiated Charge: Medicare A IL J6 (Plan: All),Payer Negotiated Charge: Medicare B IL J6 (Plan: All),Payer Negotiated Charge: Meridian Health Plan of IL (Plan: All),Payer Negotiated Charge: Molina Healthcare of IL MCD Rep (Plan: All),Payer Negotiated Charge: Multiplan Inc. for American Family (Plan: All),Payer Negotiated Charge: United Healthcare (Plan: All)
0069-6001-10,,Q2009,,,,,FOSPHENYTOIN SODIUM 50 MG PE/ML IJ SOLN - SSM SO [901785],390.1,390.1,,,,,,,,,,,,,,,,,,
0069-6001-21,,Q2009,,,,,FOSPHENYTOIN SODIUM 50 MG PE/ML IJ SOLN - SSM SO [901785],390.1,390.1,,,,,,,,,,,,,,,,,,
0074-4378-05,,0074-4378-05,,,,,CISATRACURIUM BESYLATE 2 MG/ML IV SOLN - SSM SO [908149],61.2,61.2,,,,,,,,,,,,,,,,,,
0075-0620-40,,J1650,,,,,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN [121510],129,129,,,,,,,,,,,,,,,,,,
0075-0624-30,,J1650,,,,,ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN [121509],96.8,96.8,,,,,,,,,,,,,,,,,,
0075-2915-01,,J1650,,,,,ENOXAPARIN SODIUM 150 MG/ML SC SOLN [122222],484.5,484.5,,,,,,,,,,,,,,,,,,
0075-8025-10,,J1650,,,,,ENOXAPARIN SODIUM 150 MG/ML SC SOLN [122222],484.5,484.5,,,,,,,,,,,,,,,,,,
0088-2220-33,,J1815,,,,,INSULIN GLARGINE 100 UNIT/ML SC SOLN (VIAL) [28282],1105.9,1105.9,,,,,,,,,,,,,,,,,,
0093-0018-06,,0093-0018-06,,,,,TOLTERODINE TARTRATE 2 MG PO TABS [22783],11.1,11.1,,,,,,,,,,,,,,,,,,
0093-0053-05,,0093-0053-05,,,,,BUSPIRONE HCL 5 MG PO TABS [9324],6,6,,,,,,,,,,,,,,,,,,
0093-0314-01,,0093-0314-01,,,,,KETOROLAC TROMETHAMINE 10 MG PO TABS [10371],7.1,7.1,,,,,,,,,,,,,,,,,,
0093-2026-31,,0093-2026-31,,,,,AZITHROMYCIN 200 MG/5ML PO SUSR [15797],113.4,113.4,,,,,,,,,,,,,,,,,,
0093-5731-01,,0093-5731-01,,,,,OXYCODONE HCL ER 10 MG PO T12A [140309],9.9,9.9,,,,,,,,,,,,,,,,,,
0093-8035-01,,0093-8035-01,,,,,GLYBURIDE MICRONIZED 3 MG PO TABS [14778],6,6,,,,,,,,,,,,,,,,,,
0093-8344-98,,0093-8344-98,,,,,GLYBURIDE 5 MG PO TABS [3489],6,6,,,,,,,,,,,,,,,,,,
0113-0214-29,,0113-0214-29,,,,,MICONAZOLE NITRATE 2 % VA CREA [5040],30.8,30.8,,,,,,,,,,,,,,,,,,
0115-2622-01,,0115-2622-01,,,,,TERBUTALINE SULFATE 5 MG PO TABS [11509],21.6,21.6,,,,,,,,,,,,,,,,,,
0121-0431-30,,0121-0431-30,,,,,MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP [28836],7.7,7.7,,,,,,,,,,,,,,,,,,
0121-0489-05,,0121-0489-05,,,,,DIPHENHYDRAMINE HCL 12.5 MG/5ML PO ELIX [2511],11.7,11.7,,,,,,,,,,,,,,,,,,
0121-0638-05,,0121-0638-05,,,,,GUAIFENESIN-DM 100-10 MG/5ML PO SYRP [15816],8.2,8.2,,,,,,,,,,,,,,,,,,
0121-0759-08,,J7510,,,,,PREDNISOLONE SODIUM PHOSPHATE 15 MG/5ML PO SOLN [29302],240.4,240.4,,,,,,,,,,,,,,,,,,
0121-1761-30,,J8499.024,,,,,ALUMINUM-MAGNESIUM-SIMETHICONE 200-200-20 MG/5ML PO SUSP [38285],12.3,12.3,,,,,,,,,,,,,,,,,,
0132-0081-12,,0132-0081-12,,,,,GLYCERIN (LAXATIVE) 1 G RE SUPP [117446],6,6,,,,,,,,,,,,,,,,,,
0143-9378-01,,J0878,,,,,DAPTOMYCIN 500 MG IV SOLR [36989],489.7,489.7,,,,,,,,,,,,,,,,,,
0143-9508-01,,0143-9508-01,,,,,KETAMINE HCL 50 MG/ML IJ SOLN [4238],31,31,,,,,,,,,,,,,,,,,,
0143-9508-10,,0143-9508-10,,,,,KETAMINE HCL 50 MG/ML IJ SOLN [4238],31,31,,,,,,,,,,,,,,,,,,
0143-9564-01,,J2760,,,,,PHENTOLAMINE MESYLATE 5 MG IJ SOLR [10947],1738.7,1738.7,,,,,,,,,,,,,,,,,,
0143-9595-01,,0143-9595-01,,,,,LIDOCAINE HCL (PF) 1 % IJ SOLN [119686],31,31,,,,,,,,,,,,,,,,,,
0143-9595-25,,0143-9595-25,,,,,LIDOCAINE HCL (PF) 1 % IJ SOLN [119686],31,31,,,,,,,,,,,,,,,,,,
0143-9660-01,,0143-9660-01,,,,,METOPROLOL TARTRATE 5 MG/5ML IV SOLN [107516],31,31,,,,,,,,,,,,,,,,,,
0143-9689-01,,0143-9689-01,,,,,NICARDIPINE HCL 2.5 MG/ML IV SOLN [12370],99.6,99.6,,,,,,,,,,,,,,,,,,
0143-9689-10,,0143-9689-10,,,,,NICARDIPINE HCL 2.5 MG/ML IV SOLN [12370],99.6,99.6,,,,,,,,,,,,,,,,,,
0143-9720-01,,J1956,,,,,LEVOFLOXACIN 750 MG IN 150 ML PREMIX BAG [124701],31,31,,,,,,,,,,,,,,,,,,
0143-9746-01,,J3105,,,,,TERBUTALINE SULFATE 1 MG/ML IJ SOLN [11507],31,31,,,,,,,,,,,,,,,,,,
0143-9746-10,,J3105,,,,,TERBUTALINE SULFATE 1 MG/ML IJ SOLN [11507],31,31,,,,,,,,,,,,,,,,,,
0143-9784-01,,0143-9784-01,,,,,FLUMAZENIL 0.1 MG/ML IV SOLN - SSM SO [901783],31,31,,,,,,,,,,,,,,,,,,
0143-9784-10,,0143-9784-10,,,,,FLUMAZENIL 0.1 MG/ML IV SOLN - SSM SO [901783],31,31,,,,,,,,,,,,,,,,,,
0143-9787-01,,0143-9787-01,,,,,ENALAPRILAT 1.25 MG/ML IV INJ [9929],31,31,,,,,,,,,,,,,,,,,,
0143-9787-10,,0143-9787-10,,,,,ENALAPRILAT 1.25 MG/ML IV INJ [9929],31,31,,,,,,,,,,,,,,,,,,
0143-9803-05,,0143-9803-05,,,,,DOXYCYCLINE HYCLATE 100 MG PO CAPS [2623],18,18,,,,,,,,,,,,,,,,,,
0143-9887-50,,0143-9887-50,,,,,AMOXICILLIN 400 MG/5ML PO SUSR [25246],16,16,,,,,,,,,,,,,,,,,,
0143-9889-80,,0143-9889-80,,,,,AMOXICILLIN 250 MG/5ML PO SUSR [454],17.2,17.2,,,,,,,,,,,,,,,,,,
0143-9977-22,,J0697,,,,,CEFUROXIME SODIUM 1.5 GM IV SOLR [27299],31,31,,,,,,,,,,,,,,,,,,
0143-9982-50,,0143-9982-50,,,,,AMOXICILLIN-POT CLAVULANATE 400-57 MG/5ML PO SUSR [33230],122.7,122.7,,,,,,,,,,,,,,,,,,
0168-0258-15,,0168-0258-15,,,,,CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % EX CREA [29424],65.8,65.8,,,,,,,,,,,,,,,,,,
0169-3685-12,,J1815,,,,,INSULIN ASPART PROT - ASPART (70-30) 100 UNIT/ML SC SUSP (VIAL) [33666],1170.5,1170.5,,,,,,,,,,,,,,,,,,
0169-3687-12,,J1815,,,,,INSULIN DETEMIR 100 UNIT/ML SC SOLN (VIAL) [70261],1201.8,1201.8,,,,,,,,,,,,,,,,,,
0172-3926-60,,0172-3926-60,,,,,DIAZEPAM 5 MG PO TABS [2405],6,6,,,,,,,,,,,,,,,,,,
0173-0682-24,,PBNOCRG,,,,,ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS [17837],86.1,86.1,,,,,,,,,,,,,,,,,,
0173-0695-04,,0173-0695-04,,,,,FLUTICASONE-SALMETEROL 100-50 MCG/DOSE IN AEPB [119493],42.3,42.3,,,,,,,,,,,,,,,,,,
0173-0696-04,,0173-0696-04,,,,,FLUTICASONE-SALMETEROL 250-50 MCG/DOSE IN AEPB [119489],42.3,42.3,,,,,,,,,,,,,,,,,,
0173-0697-04,,0173-0697-04,,,,,FLUTICASONE-SALMETEROL 500-50 MCG/DOSE IN AEPB [119494],68.9,68.9,,,,,,,,,,,,,,,,,,
0173-0712-15,,0173-0712-15,,,,,DUTASTERIDE 0.5 MG PO CAPS [34089],25.8,25.8,,,,,,,,,,,,,,,,,,
0173-0719-20,,0173-0719-20,,,,,FLUTICASONE PROPIONATE HFA 110 MCG/ACT IN AERO [40698],1036.9,1036.9,,,,,,,,,,,,,,,,,,
0173-0720-20,,0173-0720-20,,,,,FLUTICASONE PROPIONATE HFA 220 MCG/ACT IN AERO [40699],1610.5,1610.5,,,,,,,,,,,,,,,,,,
0185-0145-01,,0185-0145-01,,,,,NABUMETONE 500 MG PO TABS [10676],6,6,,,,,,,,,,,,,,,,,,
0185-5050-01,,0185-5050-01,,,,,METOLAZONE 2.5 MG PO TABS [10587],6.8,6.8,,,,,,,,,,,,,,,,,,
0186-0370-28,,0186-0370-28,,,,,BUDESONIDE-FORMOTEROL FUMARATE 160-4.5 MCG/ACT IN AERO [82602],985,985,,,,,,,,,,,,,,,,,,
0186-0372-28,,0186-0372-28,,,,,BUDESONIDE-FORMOTEROL FUMARATE 80-4.5 MCG/ACT IN AERO [82601],856.3,856.3,,,,,,,,,,,,,,,,,,
0225-0805-47,,0225-0805-47,,,,,PHENYLEPHRINE HCL 0.5 % NA SOLN [6244],12.4,12.4,,,,,,,,,,,,,,,,,,
0228-2127-10,,0228-2127-10,,,,,CLONIDINE HCL 0.1 MG PO TABS [1755],6,6,,,,,,,,,,,,,,,,,,
0245-0147-01,,0245-0147-01,,,,,AMIODARONE HCL 200 MG PO TABS [9066],25.9,25.9,,,,,,,,,,,,,,,,,,
0245-0147-89,,0245-0147-89,,,,,AMIODARONE HCL 200 MG PO TABS [9066],25.9,25.9,,,,,,,,,,,,,,,,,,
0245-5316-01,,0245-5316-01,,,,,POTASSIUM CHLORIDE ER 10 MEQ PO TBCR [12184],6,6,,,,,,,,,,,,,,,,,,
0245-5319-01,,0245-5319-01,,,,,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR [35943],6,6,,,,,,,,,,,,,,,,,,
0254-1011-96,,0254-1011-96,,,,,SUCRALFATE 1 GM/10ML PO SUSP [11441],771.3,771.3,,,,,,,,,,,,,,,,,,
0264-1800-31,,J7050,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],92.5,92.5,,,,,,,,,,,,,,,,,,
0264-7520-20,,0264-7520-20,,,,,DEXTROSE 10 % IV BOLUS [901044],111.3,111.3,,,,,,,,,,,,,,,,,,
0270-0556-15,,J2805,,,,,SINCALIDE 5 MCG IJ SOLR [11368],394.6,394.6,,,,,,,,,,,,,,,,,,
0270-5164-15,,A9577,,,,,GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN [41137],409.9,409.9,,,,,,,,,,,,,,,,,,
0281-0326-08,,0281-0326-08,,,,,NITROGLYCERIN 2 % TD OINT [5606],9,9,,,,,,,,,,,,,,,,,,
0310-0095-30,,0310-0095-30,,,,,ROFLUMILAST 500 MCG PO TABS [125813],51.6,51.6,,,,,,,,,,,,,,,,,,
0338-0004-04,,0338-0004-04,,,,,STERILE WATER FOR IRRIGATION IR SOLN [7485],13,13,,,,,,,,,,,,,,,,,,
0338-0017-02,,J7060,,,,,DEXTROSE 5 % IV SOLN [2364],111.3,111.3,,,,,,,,,,,,,,,,,,
0338-0017-03,,J7060,,,,,DEXTROSE 5 % IV SOLN [2364],61.5,61.5,,,,,,,,,,,,,,,,,,
0338-0017-04,,J7070,,,,,DEXTROSE 5 % IV BOLUS [901045],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0023-02,,0338-0023-02,,,,,DEXTROSE 10 % IV SOLN [2357],111.3,111.3,,,,,,,,,,,,,,,,,,
0338-0023-04,,0338-0023-04,,,,,DEXTROSE 10 % IV BOLUS [901044],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0043-04,,PBNOCRG,,,,,SODIUM CHLORIDE 0.45 % IV SOLN [7318],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0049-02,,J7050,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],111.3,111.3,,,,,,,,,,,,,,,,,,
0338-0049-03,,J7040,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],61.5,61.5,,,,,,,,,,,,,,,,,,
0338-0049-04,,J7030,,,,,SODIUM CHLORIDE 0.9 % IV BOLUS [900866],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0049-48,,J7050,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],92.5,92.5,,,,,,,,,,,,,,,,,,
0338-0054-03,,0338-0054-03,,,,,SODIUM CHLORIDE 3 % IV SOLN [7321],30,30,,,,,,,,,,,,,,,,,,
0338-0077-04,,J7042,,,,,DEXTROSE-NACL 5-0.2 % IV SOLN [15863],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0085-04,,S5010,,,,,DEXTROSE-NACL 5-0.45 % IV SOLN [15861],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0089-04,,J7042,,,,,DEXTROSE-NACL 5-0.9 % IV SOLN [15882],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0117-04,,J7050,,,,,LACTATED RINGERS IRRIGATION SOLUTION SSM SO [902361],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0125-04,,J7121,,,,,DEXTROSE IN LACTATED RINGERS 5 % IV BOLUS [901340],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0409-03,,J2001,,,,,LIDOCAINE 2000 MG IN 500 ML PREMIX [14868],31,31,,,,,,,,,,,,,,,,,,
0338-0553-11,,J7050,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],92.5,92.5,,,,,,,,,,,,,,,,,,
0338-0671-04,,0338-0671-04,,,,,KCL IN DEXTROSE-NACL 20-5-0.45 MEQ/L-%-% IV SOLN [119727],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0675-04,,0338-0675-04,,,,,KCL IN DEXTROSE-NACL 40-5-0.45 MEQ/L-%-% IV SOLN [119732],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0691-04,,J3480,,,,,POTASSIUM CHLORIDE IN NACL 20-0.9 MEQ/L-% IV SOLN [119701],30,30,,,,,,,,,,,,,,,,,,
0338-0695-04,,J3480,,,,,POTASSIUM CHLORIDE IN NACL 40-0.9 MEQ/L-% IV SOLN [119702],30,30,,,,,,,,,,,,,,,,,,
0338-0704-34,,J3480,,,,,POTASSIUM CHLORIDE IN NACL 20-0.45 MEQ/L-% IV SOLN [36046],30,30,,,,,,,,,,,,,,,,,,
0338-0709-48,,J3480,,,,,POTASSIUM CHLORIDE 10 MEQ IN 100 ML SW PREMIX BAG [11074],30,30,,,,,,,,,,,,,,,,,,
0338-0803-04,,0338-0803-04,,,,,KCL IN DEXTROSE-NACL 20-5-0.9 MEQ/L-%-% IV SOLN [119721],87.8,87.8,,,,,,,,,,,,,,,,,,
0338-0807-04,,0338-0807-04,,,,,KCL IN DEXTROSE-NACL 40-5-0.9 MEQ/L-%-% IV SOLN [119722],31.8,31.8,,,,,,,,,,,,,,,,,,
0338-1007-02,,J1265,,,,,DOPAMINE 1.6 MG/ML PREMIX [14845],47.2,47.2,,,,,,,,,,,,,,,,,,
0338-1047-02,,0338-1047-02,,,,,NITROGLYCERIN IN DEX5W 100-5 MCG/ML-% IV SOLN [15858],68.3,68.3,,,,,,,,,,,,,,,,,,
0338-1055-48,,0338-1055-48,,,,,METRONIDAZOLE 500 MG IN 100 ML 0.79% PREMIX [5018],31,31,,,,,,,,,,,,,,,,,,
0338-1073-02,,J1250,,,,,DOBUTAMINE 250 MG IN 250 ML PREMIX [18314],74.8,74.8,,,,,,,,,,,,,,,,,,
0338-6046-48,,J1450,,,,,FLUCONAZOLE 200 MG IN NS 100 ML PREMIX [10049],72.8,72.8,,,,,,,,,,,,,,,,,,
0338-9159-30,,J7050,,,,,SODIUM CHLORIDE 0.9 % IV SOLN [27838],92.5,92.5,,,,,,,,,,,,,,,,,,
0338-9541-24,,0338-9541-24,,,,,METRONIDAZOLE 500 MG IN 100 ML 0.79% PREMIX [5018],31,31,,,,,,,,,,,,,,,,,,
0378-0871-16,,0378-0871-16,,,,,CLONIDINE 0.1 MG/24HR TD PTWK [162585],107.7,107.7,,,,,,,,,,,,,,,,,,
0378-0871-99,,0378-0871-99,,,,,CLONIDINE 0.1 MG/24HR TD PTWK [162585],107.7,107.7,,,,,,,,,,,,,,,,,,
0378-9102-16,,0378-9102-16,,,,,NITROGLYCERIN 0.1 MG/HR TD PT24 [27471],6.1,6.1,,,,,,,,,,,,,,,,,,
0378-9102-93,,0378-9102-93,,,,,NITROGLYCERIN 0.1 MG/HR TD PT24 [27471],6.1,6.1,,,,,,,,,,,,,,,,,,
0378-9119-16,,0378-9119-16,,,,,FENTANYL 12 MCG/HR TD PT72 [41382],66,66,,,,,,,,,,,,,,,,,,
0378-9119-98,,0378-9119-98,,,,,FENTANYL 12 MCG/HR TD PT72 [41382],66,66,,,,,,,,,,,,,,,,,,
0395-2662-16,,0395-2662-16,,,,,CHERRY PO SYRP [1562],53.9,53.9,,,,,,,,,,,,,,,,,,
0406-0123-23,,0406-0123-23,,,,,HYDROCODONE-ACETAMINOPHEN  5-325 MG PO TABS [34505],6,6,,,,,,,,,,,,,,,,,,
0406-0123-62,,0406-0123-62,,,,,HYDROCODONE-ACETAMINOPHEN  5-325 MG PO TABS [34505],6,6,,,,,,,,,,,,,,,,,,
0406-0484-23,,0406-0484-23,,,,,ACETAMINOPHEN-CODEINE #3 300-30 MG PO TABS [14087],6,6,,,,,,,,,,,,,,,,,,
0406-0484-62,,0406-0484-62,,,,,ACETAMINOPHEN-CODEINE #3 300-30 MG PO TABS [14087],6,6,,,,,,,,,,,,,,,,,,
